zip_code,ride_id,started_at_date,ride_length
07030,FE85838C8E5639D0,2022-11-13,34
07030,3A79BC6F7BEFA69A,2022-11-06,55
07030,C14E47F2BD5C9749,2022-11-05,14
07030,C4A1355F7E9FE1BE,2022-11-29,16
07030,CADAD80EBB9A914D,2022-11-05,54
07030,69AC3D33B1398C30,2022-11-05,13
07030,4E0FE6DAB35116BA,2022-11-13,33
07030,60709DE4CC244DBF,2022-11-05,25
07030,1B4F7E42BC9599CD,2022-11-07,25
07030,815B485F20944E8D,2022-11-28,3
07030,2142806E4773CB60,2022-11-14,4
07030,1FB37B898E297729,2022-11-05,32
07030,FCC0B8888A43CEF1,2022-11-01,9
07030,D3F2AD28AE28FCBA,2022-11-26,31
07030,31AC52A5CE8AC30B,2022-11-26,17
07030,5051A7166B308088,2022-11-07,5
07030,1771E2AF43D2CAE1,2022-11-06,2
07030,F66913A4AF00361B,2022-11-19,16
07030,9C22C4D2E16362DD,2022-11-04,13
07030,5CC6C285D9C85554,2022-11-05,6
07030,D88798EA784920B3,2022-11-26,82
07030,7B602D93E9EE3715,2022-11-07,33
07030,A87AC0BFCD7376CD,2022-11-14,14
07030,AA9648FD0D71FE44,2022-11-23,38
07030,2262EF80CA4DEEB9,2022-11-12,0
07030,0552528D3FF83C7A,2022-11-10,2
07030,6E6A22841FDC5958,2022-11-04,0
07030,682C18707369A3F7,2022-11-15,15
07030,660A4C46B3D050CD,2022-11-21,4
07030,B352D89353E2865D,2022-11-13,36
07030,6E5AF507673C80E1,2022-11-03,20
07030,E022169BB2DF862A,2022-11-03,3
07030,C480059A0EDA96B3,2022-11-12,10
07030,39E116B434F2133B,2022-11-07,69
07030,17BEA36601354945,2022-11-07,60
07030,C6B9F28086AC43AD,2022-11-04,23
07030,51C4360903E4951C,2022-11-05,10
07030,5C29AB0FBB523F11,2022-11-01,28
07030,5B936C24D7555B73,2022-11-05,11
07030,42E446C7DFB240B5,2022-11-03,2
07030,DCD3BE37E320BF61,2022-11-26,33
07030,952EDFDC68057E52,2022-11-05,32
07030,DF68CCD0562EEC47,2022-11-06,55
07030,E8FE57F403A1A4DB,2022-11-05,14
